time,altitude,distance,grade,heartrate,cadence,velocity,lat,long,power
0,12,0.6413,-1.3,115,80,7.5,44.390015,8.991201,2.096707776
1,11.8,0.6489,-1.3,114,80,7.5,44.390049,8.991109,2.096707776
2,11.8,0.6568,-1.9,114,81,7.6,44.390086,8.991018,0
3,11.6,0.6647,-1.9,114,82,7.7,44.390127,8.990931,0
4,11.4,0.6727,-1.9,113,83,7.8,44.390164,8.990847,0
5,11.2,0.681,-0.6,113,85,7.9,44.390209,8.990768,58.64655453
6,11.2,0.6891,0,113,86,8,44.390258,8.990698,103.75904
7,11.4,0.6974,0.6,113,86,8.1,44.390333,8.990678,150.0052267
8,11.4,0.7055,0.6,114,85,8.2,44.390407,8.990664,153.9493731
9,11.4,0.7136,-0.6,114,84,8.2,44.39048,8.990648,67.07357688
10,11.4,0.7213,-1.3,114,83,8.1,44.390556,8.990629,14.1340224
11,11.2,0.7289,-0.7,114,79,8,44.390622,8.990604,54.31729756
12,11,0.7362,0,115,78,7.8,44.390688,8.990572,97.306404
13,11.2,0.7434,1.4,117,76,7.6,44.390746,8.990524,185.0757472
14,11.4,0.7503,2.9,118,75,7.3,44.390801,8.990468,269.2618358
15,11.6,0.7573,2.9,119,72,7.2,44.390846,8.990402,263.9384135
16,11.8,0.764,2.9,119,72,7,44.390884,8.990328,253.4933309
17,12,0.7708,2.2,120,71,6.9,44.390911,8.990252,205.771025
18,12.2,0.7777,1.5,121,72,6.9,44.390936,8.990174,163.1516217
19,12.2,0.7843,0.7,121,71,6.8,44.390957,8.990093,111.3089237
20,12.2,0.791,0,121,71,6.7,44.390979,8.99001,66.848647
21,12.2,0.7978,0,122,71,6.8,44.390997,8.989923,69.284384
22,12.2,0.8045,0.7,123,71,6.7,44.391013,8.98983,108.2551788
23,12.2,0.8111,1.5,124,71,6.7,44.39103,8.989743,155.5679872
24,12.4,0.818,2.2,125,70,6.7,44.391051,8.98966,196.9520454
25,12.6,0.825,2.1,126,71,6.8,44.391071,8.989576,195.3304781
26,12.8,0.832,2.1,127,73,6.8,44.391088,8.989491,195.3304781
27,12.8,0.8392,2.1,129,73,6.9,44.391108,8.989408,199.6836562
28,13,0.8467,2.7,130,75,7.1,44.391132,8.989326,246.1612347
29,13.2,0.854,4.1,131,77,7.2,44.391156,8.989243,340.0711306
30,13.6,0.8612,4.2,133,75,7.2,44.391178,8.98916,346.4107809
31,14,0.8683,3.5,134,75,7.3,44.391201,8.98908,307.8694065
32,14.2,0.8753,2.7,135,74,7.2,44.391222,8.988999,251.2407343
33,14.2,0.8824,1.4,136,73,7.1,44.391248,8.988919,164.7279662
34,14.4,0.8913,0,137,73,7.5,44.391274,8.988838,88.173975
35,14.4,0.8964,0,137,72,7,44.391301,8.988762,74.34826
36,14.2,0.9033,-0.8,138,72,7,44.391324,8.98868,24.90680925
37,14.2,0.9103,-0.7,137,72,7,44.391345,8.988595,31.08673536
38,14.2,0.9172,-0.7,137,73,7,44.391368,8.988513,31.08673536
39,14.2,0.9243,-1.4,137,73,6.6,44.39139,8.988428,0
40,14,0.9315,-2.1,138,74,7,44.391415,8.988347,0
41,13.8,0.9387,-2.7,138,74,7.1,44.391437,8.988262,0
42,13.6,0.9461,-2.7,138,76,7.2,44.391461,8.988176,0
43,13.4,0.9536,-2.6,137,78,7.3,44.391483,8.988079,0
44,13.2,0.9613,-2.6,136,79,7.4,44.391506,8.987987,0
45,13,0.9692,-1.9,135,81,7.5,44.391528,8.987889,0
46,12.8,0.9772,-1.9,135,84,7.7,44.391552,8.987793,0
47,12.8,0.9855,-2.4,135,84,7.9,44.391584,8.987692,0
48,12.6,0.9937,-3,135,84,8,44.391614,8.987589,0
49,12.2,1.0021,-3.6,135,0,8.2,44.391643,8.987488,0
50,11.8,1.0105,-4.1,135,0,8.3,44.391672,8.987388,0
51,11.6,1.019,-3.5,134,0,8.4,44.391702,8.987287,0
52,11.2,1.0275,-2.9,134,0,8.4,44.391733,8.987184,0
53,11,1.0361,-2.3,134,0,8.5,44.391765,8.987082,0
54,10.8,1.0447,-1.7,131,0,8.5,44.391803,8.986985,0
55,10.8,1.0538,-1.7,131,92,8.7,44.391834,8.986882,0
56,10.6,1.0627,-1.1,130,93,8.7,44.391871,8.986779,44.26670144
57,10.4,1.0718,-1.1,131,95,8.9,44.391909,8.986675,50.18698076
58,10.4,1.0809,-0.6,131,95,9,44.391941,8.986567,92.99902047
59,10.4,1.0897,0,131,94,9,44.391973,8.986459,140.67522
60,10.4,1.0985,-0.6,130,93,8.9,44.392004,8.98635,89.47271902
61,10.4,1.1075,-1.1,131,91,9,44.392039,8.986248,53.27186942
62,10.2,1.1161,-1.7,131,90,8.9,44.392074,8.986148,3.052078863
63,10,1.1247,-2.3,131,88,8.8,44.392111,8.986053,0
64,9.8,1.1332,-2.4,131,87,8.7,44.392151,8.985965,0
65,9.6,1.1416,-2.4,132,86,8.6,44.392193,8.985876,0
66,9.4,1.1499,-2.4,132,86,8.5,44.392235,8.98579,0
67,9.2,1.1581,-1.8,134,86,8.4,44.392276,8.985704,0
68,9,1.1664,-1.8,134,85,8.3,44.392313,8.985615,0
69,9,1.1747,-1.2,134,85,8.3,44.392346,8.985525,26.07104156
70,8.8,1.183,-0.6,134,85,8.3,44.392381,8.985437,70.03518832
71,8.8,1.1912,0,134,84,8.3,44.392417,8.98535,114.003239
72,8.8,1.1993,1.2,134,84,8.2,44.392454,8.985264,197.3813296
73,9,1.2076,1.8,137,84,8.2,44.392494,8.985178,240.8030737
74,9.2,1.2157,1.8,137,84,8.2,44.392535,8.985095,240.8030737
75,9.4,1.2237,0.6,137,83,8.1,44.392577,8.985012,150.0052267
76,9.4,1.2318,-0.6,139,83,8.1,44.392623,8.984933,64.18889143
77,9.2,1.2398,-1.2,139,82,8.1,44.392664,8.984853,21.28412169
78,9,1.2478,-1.9,139,82,8,44.392705,8.984771,0
79,9,1.2559,-1.2,139,82,8,44.392746,8.984688,19.00511476
80,8.8,1.2638,-0.6,139,82,8,44.392786,8.984604,61.38019598
81,8.8,1.2718,-0.6,139,82,8,44.392823,8.984518,61.38019598
82,8.8,1.2799,0,141,82,8,44.392865,8.984435,103.75904
83,8.8,1.2882,0,141,82,8.1,44.392909,8.984356,107.097471
84,8.8,1.2957,0,141,80,8,44.392951,8.984279,103.75904
85,8.8,1.3033,0,141,79,7.9,44.392992,8.984206,100.495663
86,8.8,1.3108,-0.7,141,77,7.8,44.393036,8.984132,49.10070512
87,8.8,1.3183,-0.7,141,76,7.7,44.393076,8.984059,46.6026499
88,8.6,1.3256,0,141,76,7.5,44.393109,8.983984,88.173975
89,8.6,1.3329,0,143,75,7.4,44.393142,8.983911,85.271828
90,8.8,1.3402,0.7,143,74,7.4,44.393169,8.98384,131.0044153
91,8.8,1.3472,0.7,142,73,7.3,44.393199,8.983767,127.5536984
92,8.8,1.3542,0.7,141,72,7.2,44.393235,8.983694,124.1714835
93,8.8,1.3611,1.5,141,72,7.1,44.393273,8.983626,170.9942882
94,9,1.3679,3,141,71,7,44.393307,8.983563,259.6649886
95,9.2,1.3745,3.1,141,70,6.9,44.39334,8.983497,260.5362145
96,9.6,1.3809,1.6,141,64,6.7,44.393372,8.983435,161.480992
97,9.6,1.3872,0,141,65,6.6,44.393404,8.983374,64.475796
98,9.4,1.3934,-0.8,140,64,6.5,44.393437,8.983313,16.25497645
99,9.2,1.3996,-0.8,139,64,6.3,44.393469,8.983251,13.22789332
100,9.4,1.4056,0.8,139,64,6.2,44.3935,8.983192,99.38441022
101,9.4,1.4115,3.4,138,61,6.1,44.39353,8.983132,236.5198304
102,9.6,1.4172,3.5,137,60,6,44.393563,8.983072,236.7920478
103,10,1.4229,3.6,137,58,5.9,44.393593,8.983013,236.9437917
104,10.2,1.4283,3.6,136,57,5.7,44.393622,8.982957,226.8389368
105,10.2,1.4338,3.7,135,56,5.6,44.393655,8.982903,226.8010654
106,10.4,1.4394,2.8,135,56,5.6,44.393686,8.982851,182.3783815
107,10.8,1.4447,4.7,134,55,5.5,44.393714,8.982798,270.2180677
108,10.8,1.4499,4.8,135,56,5.4,44.393744,8.982745,269.132945
109,11.2,1.4551,4.9,135,64,5.4,44.393771,8.982694,273.8830943
110,11.4,1.4601,6,136,64,5.3,44.393801,8.98264,319.1567868
111,11.8,1.465,5.1,137,62,5.1,44.393828,8.98259,265.1183902
112,12,1.4699,6.2,138,56,5,44.393856,8.982542,307.4462894
113,12.2,1.4748,6.2,138,56,5,44.393884,8.982495,307.4462894
114,12.6,1.4796,6.3,139,55,4.9,44.393911,8.982449,304.8364682
115,13,1.4845,6.2,139,55,4.9,44.393934,8.9824,300.5363446
116,13.2,1.4891,5.3,140,54,4.8,44.393959,8.982356,255.7268958
117,13.4,1.494,5.3,140,54,4.8,44.393984,8.982309,255.7268958
118,13.6,1.4986,5.3,141,54,4.8,44.39401,8.982259,255.7268958
119,14,1.5033,7.5,141,54,4.7,44.394035,8.98221,340.4085101
120,14.2,1.508,8.7,142,53,4.7,44.394059,8.982163,389.7043623
121,14.8,1.5126,7.7,143,53,4.7,44.394082,8.982121,348.634376
122,15.2,1.517,7.8,144,52,4.6,44.394107,8.982079,344.5692773
123,15.4,1.5215,5.6,144,51,4.6,44.394134,8.982037,255.8423241
124,15.6,1.526,4.4,146,51,4.5,44.394162,8.981993,202.1478711
125,15.8,1.5305,4.4,146,52,4.5,44.394186,8.981949,202.1478711
126,16,1.5351,4.3,147,52,4.5,44.394213,8.981906,198.1866235
127,16.2,1.5398,4.4,148,53,4.6,44.394235,8.981861,207.297064
128,16.4,1.5444,5.6,149,53,4.6,44.394254,8.981816,255.8423241
129,16.6,1.5487,5.7,149,52,4.5,44.394278,8.981774,253.5911852
130,17,1.553,5.7,150,49,4.5,44.394301,8.981731,253.5911852
131,17.2,1.5574,5.7,150,49,4.5,44.394321,8.981688,253.5911852
132,17.4,1.5618,4.5,151,50,4.4,44.39434,8.981642,200.9136694
133,17.6,1.5663,3.3,152,50,4.4,44.394362,8.981597,154.4093384
134,17.8,1.5709,3.2,152,52,4.4,44.394386,8.981552,150.531129
135,17.8,1.5757,3.1,153,54,4.5,44.394409,8.981508,150.6142425
136,18,1.5805,3,153,54,4.6,44.394434,8.981468,150.5629605
137,18.2,1.5857,3.4,153,56,4.8,44.394465,8.981432,175.4491809
138,18.4,1.5911,3.7,154,59,5,44.394501,8.981393,197.5140512
139,18.6,1.5991,3.6,154,63,5.6,44.394539,8.981352,221.8672663
140,18.8,1.6024,3.5,154,64,5.3,44.394582,8.981311,202.5940439
141,19,1.6082,2.9,155,66,5.5,44.394621,8.981259,183.0140564
142,19.2,1.6141,1.7,156,67,5.7,44.394659,8.981205,131.3338907
143,19.2,1.6201,1.7,156,68,5.8,44.394696,8.981145,134.6835601
144,19.2,1.6262,1.6,155,69,5.4,44.394734,8.981087,116.8368332
145,19.4,1.6324,1.6,155,70,6,44.394772,8.981028,136.2522636
146,19.6,1.6385,2.4,154,70,6.1,44.394808,8.980967,182.7364599
147,19.6,1.6447,1.6,155,71,6.1,44.394842,8.980902,139.6798777
148,19.8,1.651,0.8,153,71,6.2,44.394872,8.980833,99.38441022
149,19.8,1.6575,0.8,153,72,6.3,44.394896,8.980759,102.2213656
150,19.8,1.6638,0,152,72,6.3,44.394923,8.980687,57.725199
151,19.8,1.6701,0,152,72,6.3,44.394948,8.980612,57.725199
152,19.8,1.6765,0,154,72,6.4,44.394965,8.980535,59.915008
153,19.8,1.683,-0.8,155,73,6.4,44.394979,8.980459,14.71139588
154,19.8,1.6894,0,155,73,6.4,44.39499,8.980379,59.915008
155,19.6,1.6959,0,155,73,6.4,44.394994,8.980298,59.915008
156,19.8,1.7025,0,154,74,6.5,44.394994,8.980217,62.164895
157,19.8,1.7092,0.8,153,75,6.5,44.394992,8.980131,108.0736383
158,19.8,1.7157,0,152,75,6.5,44.394988,8.980045,62.164895
159,19.8,1.7223,0,152,75,6.6,44.394981,8.979961,64.475796
160,19.8,1.7288,0.8,152,74,6.6,44.394976,8.97988,111.0908277
161,19.8,1.7349,1.6,151,71,6.5,44.394971,8.9798,153.9723939
162,20,1.7409,2.6,150,68,6.3,44.394969,8.979726,202.2893494
163,20.2,1.7467,3.5,149,66,6.2,44.394965,8.979653,247.0558721
164,20.4,1.7523,3.6,149,64,6,44.394965,8.979583,242.0788482
165,20.6,1.7578,2.8,149,63,5.8,44.394962,8.979514,190.9649311
166,20.8,1.7632,3.8,149,61,5.7,44.394958,8.979447,236.8821693
167,20.8,1.7683,3.9,148,60,5.5,44.394954,8.979383,231.4836001
168,21.2,1.7734,3,148,58,5.3,44.39495,8.979322,179.2367164
169,21.4,1.7784,3,148,55,5.2,44.394946,8.979261,174.9986075
170,21.4,1.7833,2,148,56,5.1,44.394941,8.979199,125.8277843
171,21.4,1.7884,2,149,56,5,44.394935,8.979133,122.5684229
172,21.6,1.7932,3.1,149,56,5,44.394929,8.979068,171.0759083
173,21.8,1.798,4.1,149,55,4.9,44.394923,8.979009,210.0659962
174,22,1.8029,4.1,149,55,4.9,44.394918,8.97895,210.0659962
175,22.2,1.8078,4,149,56,4.9,44.394915,8.978889,205.7509684
176,22.4,1.8128,4,149,56,4.9,44.394915,8.978827,205.7509684
177,22.6,1.8179,4,149,57,4.9,44.394913,8.978766,205.7509684
178,22.8,1.8228,4.1,149,57,5,44.394909,8.978707,215.1296074
179,23,1.8276,5.3,149,55,4.9,44.394904,8.978645,261.8002704
180,23.2,1.8322,5.3,148,54,4.9,44.394899,8.978584,261.8002704
181,23.6,1.8369,4.3,148,53,4.8,44.394895,8.978528,213.500745
182,23.8,1.8417,5.3,148,53,4.8,44.394893,8.978477,255.7268958
183,23.8,1.8463,4.3,148,53,4.7,44.39489,8.978422,208.3521838
184,24.2,1.8509,3.3,148,52,4.7,44.39489,8.97837,166.9511508
185,24.4,1.8555,4.3,149,53,4.7,44.394891,8.978315,208.3521838
186,24.4,1.8601,2.2,149,52,4.6,44.39489,8.978259,118.1081173
187,24.6,1.8647,3.3,149,53,4.6,44.394888,8.978202,162.7276287
188,24.6,1.8693,5.4,149,52,4.6,44.394886,8.978145,247.7577889
189,25,1.8738,5.4,149,52,4.6,44.394883,8.978087,247.7577889
190,25.4,1.8785,6.4,149,53,4.6,44.39488,8.978028,288.1519229
191,25.6,1.8833,5.3,149,54,4.6,44.394876,8.977968,243.7145164
192,25.8,1.888,5.4,150,54,4.7,44.394868,8.977907,253.8297928
193,26,1.8925,5.5,150,53,4.6,44.394862,8.977847,251.8003955
194,26.4,1.8971,5.5,150,52,4.7,44.39486,8.977787,257.9602821
195,26.6,1.9016,6.7,151,51,4.6,44.394859,8.977729,300.2554019
