time,altitude,distance,grade,heartrate,cadence,lat,long,power,velocity1,velocity
0,12,0.6413,-1.3,115,80,44.390015,8.991201,2.096707776,27,7.5
1,11.8,0.6489,-1.3,114,80,44.390049,8.991109,2.096707776,27,7.5
2,11.8,0.6568,-1.9,114,81,44.390086,8.991018,0,27.36,7.6
3,11.6,0.6647,-1.9,114,82,44.390127,8.990931,0,27.72,7.7
4,11.4,0.6727,-1.9,113,83,44.390164,8.990847,0,28.08,7.8
5,11.2,0.681,-0.6,113,85,44.390209,8.990768,58.64655453,28.44,7.9
6,11.2,0.6891,0,113,86,44.390258,8.990698,103.75904,28.8,8
7,11.4,0.6974,0.6,113,86,44.390333,8.990678,150.0052267,29.16,8.1
8,11.4,0.7055,0.6,114,85,44.390407,8.990664,153.9493731,29.52,8.2
9,11.4,0.7136,-0.6,114,84,44.39048,8.990648,67.07357688,29.52,8.2
10,11.4,0.7213,-1.3,114,83,44.390556,8.990629,14.1340224,29.16,8.1
11,11.2,0.7289,-0.7,114,79,44.390622,8.990604,54.31729756,28.8,8
12,11,0.7362,0,115,78,44.390688,8.990572,97.306404,28.08,7.8
13,11.2,0.7434,1.4,117,76,44.390746,8.990524,185.0757472,27.36,7.6
14,11.4,0.7503,2.9,118,75,44.390801,8.990468,269.2618358,26.28,7.3
15,11.6,0.7573,2.9,119,72,44.390846,8.990402,263.9384135,25.92,7.2
16,11.8,0.764,2.9,119,72,44.390884,8.990328,253.4933309,25.2,7
17,12,0.7708,2.2,120,71,44.390911,8.990252,205.771025,24.84,6.9
18,12.2,0.7777,1.5,121,72,44.390936,8.990174,163.1516217,24.84,6.9
19,12.2,0.7843,0.7,121,71,44.390957,8.990093,111.3089237,24.48,6.8
20,12.2,0.791,0,121,71,44.390979,8.99001,66.848647,24.12,6.7
21,12.2,0.7978,0,122,71,44.390997,8.989923,69.284384,24.48,6.8
22,12.2,0.8045,0.7,123,71,44.391013,8.98983,108.2551788,24.12,6.7
23,12.2,0.8111,1.5,124,71,44.39103,8.989743,155.5679872,24.12,6.7
24,12.4,0.818,2.2,125,70,44.391051,8.98966,196.9520454,24.12,6.7
25,12.6,0.825,2.1,126,71,44.391071,8.989576,195.3304781,24.48,6.8
26,12.8,0.832,2.1,127,73,44.391088,8.989491,195.3304781,24.48,6.8
27,12.8,0.8392,2.1,129,73,44.391108,8.989408,199.6836562,24.84,6.9
28,13,0.8467,2.7,130,75,44.391132,8.989326,246.1612347,25.56,7.1
29,13.2,0.854,4.1,131,77,44.391156,8.989243,340.0711306,25.92,7.2
30,13.6,0.8612,4.2,133,75,44.391178,8.98916,346.4107809,25.92,7.2
31,14,0.8683,3.5,134,75,44.391201,8.98908,307.8694065,26.28,7.3
32,14.2,0.8753,2.7,135,74,44.391222,8.988999,251.2407343,25.92,7.2
33,14.2,0.8824,1.4,136,73,44.391248,8.988919,164.7279662,25.56,7.1
34,14.4,0.8913,0,137,73,44.391274,8.988838,88.173975,27,7.5
35,14.4,0.8964,0,137,72,44.391301,8.988762,74.34826,25.2,7
36,14.2,0.9033,-0.8,138,72,44.391324,8.98868,24.90680925,25.2,7
37,14.2,0.9103,-0.7,137,72,44.391345,8.988595,31.08673536,25.2,7
38,14.2,0.9172,-0.7,137,73,44.391368,8.988513,31.08673536,25.2,7
39,14.2,0.9243,-1.4,137,73,44.39139,8.988428,0,23.76,6.6
40,14,0.9315,-2.1,138,74,44.391415,8.988347,0,25.2,7
41,13.8,0.9387,-2.7,138,74,44.391437,8.988262,0,25.56,7.1
42,13.6,0.9461,-2.7,138,76,44.391461,8.988176,0,25.92,7.2
43,13.4,0.9536,-2.6,137,78,44.391483,8.988079,0,26.28,7.3
44,13.2,0.9613,-2.6,136,79,44.391506,8.987987,0,26.64,7.4
45,13,0.9692,-1.9,135,81,44.391528,8.987889,0,27,7.5
46,12.8,0.9772,-1.9,135,84,44.391552,8.987793,0,27.72,7.7
47,12.8,0.9855,-2.4,135,84,44.391584,8.987692,0,28.44,7.9
48,12.6,0.9937,-3,135,84,44.391614,8.987589,0,28.8,8
49,12.2,1.0021,-3.6,135,0,44.391643,8.987488,0,29.52,8.2
50,11.8,1.0105,-4.1,135,0,44.391672,8.987388,0,29.88,8.3
51,11.6,1.019,-3.5,134,0,44.391702,8.987287,0,30.24,8.4
52,11.2,1.0275,-2.9,134,0,44.391733,8.987184,0,30.24,8.4
53,11,1.0361,-2.3,134,0,44.391765,8.987082,0,30.6,8.5
54,10.8,1.0447,-1.7,131,0,44.391803,8.986985,0,30.6,8.5
55,10.8,1.0538,-1.7,131,92,44.391834,8.986882,0,31.32,8.7
56,10.6,1.0627,-1.1,130,93,44.391871,8.986779,44.26670144,31.32,8.7
57,10.4,1.0718,-1.1,131,95,44.391909,8.986675,50.18698076,32.04,8.9
58,10.4,1.0809,-0.6,131,95,44.391941,8.986567,92.99902047,32.4,9
59,10.4,1.0897,0,131,94,44.391973,8.986459,140.67522,32.4,9
60,10.4,1.0985,-0.6,130,93,44.392004,8.98635,89.47271902,32.04,8.9
61,10.4,1.1075,-1.1,131,91,44.392039,8.986248,53.27186942,32.4,9
62,10.2,1.1161,-1.7,131,90,44.392074,8.986148,3.052078863,32.04,8.9
63,10,1.1247,-2.3,131,88,44.392111,8.986053,0,31.68,8.8
64,9.8,1.1332,-2.4,131,87,44.392151,8.985965,0,31.32,8.7
65,9.6,1.1416,-2.4,132,86,44.392193,8.985876,0,30.96,8.6
66,9.4,1.1499,-2.4,132,86,44.392235,8.98579,0,30.6,8.5
67,9.2,1.1581,-1.8,134,86,44.392276,8.985704,0,30.24,8.4
68,9,1.1664,-1.8,134,85,44.392313,8.985615,0,29.88,8.3
69,9,1.1747,-1.2,134,85,44.392346,8.985525,26.07104156,29.88,8.3
70,8.8,1.183,-0.6,134,85,44.392381,8.985437,70.03518832,29.88,8.3
71,8.8,1.1912,0,134,84,44.392417,8.98535,114.003239,29.88,8.3
72,8.8,1.1993,1.2,134,84,44.392454,8.985264,197.3813296,29.52,8.2
73,9,1.2076,1.8,137,84,44.392494,8.985178,240.8030737,29.52,8.2
74,9.2,1.2157,1.8,137,84,44.392535,8.985095,240.8030737,29.52,8.2
75,9.4,1.2237,0.6,137,83,44.392577,8.985012,150.0052267,29.16,8.1
76,9.4,1.2318,-0.6,139,83,44.392623,8.984933,64.18889143,29.16,8.1
77,9.2,1.2398,-1.2,139,82,44.392664,8.984853,21.28412169,29.16,8.1
78,9,1.2478,-1.9,139,82,44.392705,8.984771,0,28.8,8
79,9,1.2559,-1.2,139,82,44.392746,8.984688,19.00511476,28.8,8
80,8.8,1.2638,-0.6,139,82,44.392786,8.984604,61.38019598,28.8,8
81,8.8,1.2718,-0.6,139,82,44.392823,8.984518,61.38019598,28.8,8
82,8.8,1.2799,0,141,82,44.392865,8.984435,103.75904,28.8,8
83,8.8,1.2882,0,141,82,44.392909,8.984356,107.097471,29.16,8.1
84,8.8,1.2957,0,141,80,44.392951,8.984279,103.75904,28.8,8
85,8.8,1.3033,0,141,79,44.392992,8.984206,100.495663,28.44,7.9
86,8.8,1.3108,-0.7,141,77,44.393036,8.984132,49.10070512,28.08,7.8
87,8.8,1.3183,-0.7,141,76,44.393076,8.984059,46.6026499,27.72,7.7
88,8.6,1.3256,0,141,76,44.393109,8.983984,88.173975,27,7.5
89,8.6,1.3329,0,143,75,44.393142,8.983911,85.271828,26.64,7.4
90,8.8,1.3402,0.7,143,74,44.393169,8.98384,131.0044153,26.64,7.4
91,8.8,1.3472,0.7,142,73,44.393199,8.983767,127.5536984,26.28,7.3
92,8.8,1.3542,0.7,141,72,44.393235,8.983694,124.1714835,25.92,7.2
93,8.8,1.3611,1.5,141,72,44.393273,8.983626,170.9942882,25.56,7.1
94,9,1.3679,3,141,71,44.393307,8.983563,259.6649886,25.2,7
